COMMAND     PID        USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
rapportd    602 sallahuddin   10u  IPv4 0xda65c53c98811d79      0t0  TCP *:50434 (LISTEN)
rapportd    602 sallahuddin   11u  IPv6 0x9b2e42110826f6b0      0t0  TCP *:50434 (LISTEN)
ControlCe   648 sallahuddin   10u  IPv4 0x2a599c3a1a9448b5      0t0  TCP *:7000 (LISTEN)
ControlCe   648 sallahuddin   11u  IPv6 0xe108f0804eb44a3d      0t0  TCP *:7000 (LISTEN)
ControlCe   648 sallahuddin   12u  IPv4 0x6cf60d1013564215      0t0  TCP *:5000 (LISTEN)
ControlCe   648 sallahuddin   13u  IPv6 0x5b3b01e78309c7d9      0t0  TCP *:5000 (LISTEN)
redis-ser  4331 sallahuddin    6u  IPv4  0x6b626c571f28900      0t0  TCP 127.0.0.1:6379 (LISTEN)
redis-ser  4331 sallahuddin    7u  IPv6  0x5a0d29d143840a9      0t0  TCP [::1]:6379 (LISTEN)
postgres   4342 sallahuddin    7u  IPv6 0x721ae134d068940e      0t0  TCP [::1]:5432 (LISTEN)
postgres   4342 sallahuddin    8u  IPv4 0x14d65b10eef83cbd      0t0  TCP 127.0.0.1:5432 (LISTEN)
Electron  14090 sallahuddin   70u  IPv4 0xc2862de510947dad      0t0  TCP 127.0.0.1:59806 (LISTEN)
Electron  14090 sallahuddin   72u  IPv4 0x21135631ee13caad      0t0  TCP 127.0.0.1:59807 (LISTEN)
language_ 14141 sallahuddin    4u  IPv4 0xa4b2037494748f44      0t0  TCP 127.0.0.1:59816 (LISTEN)
language_ 14141 sallahuddin    5u  IPv4 0x19671e18110804e7      0t0  TCP 127.0.0.1:59817 (LISTEN)
MacPacket 26571 sallahuddin   12u  IPv4 0x518ac03c8c8b251a      0t0  TCP 192.168.137.157:1082 (LISTEN)
MacPacket 26571 sallahuddin   13u  IPv4 0x20a7d6f1bc15ad72      0t0  TCP 127.0.0.1:1082 (LISTEN)
MacPacket 26571 sallahuddin   14u  IPv6 0xe06b96dd6d85fbfb      0t0  TCP [::1]:1082 (LISTEN)
Python    83729 sallahuddin   14u  IPv4 0xa539a53dcce33b79      0t0  TCP *:8081 (LISTEN)
OneDrive  96836 sallahuddin   27u  IPv6 0x9dcfe086c5b53dfe      0t0  TCP [::1]:42050 (LISTEN)
